id,name,crs_code,tiploc_code
56,Essex Road,EXR,ESSEXRD
57,Lewisham,LEW,LEWISHM
58,Ladywell,LAD,LDYW
59,Forest Hill,FOH,FORESTH
60,London Fields,LOF,LONFLDS
61,Caledonian Road & Barnsbury,CIR,CLDNNRB
62,Streatham Hill,SRH,STRHILL
63,London Marylebone,MYB,MARYLBN
64,Sydenham Hill,SYH,SYDNHMH
65,Clapham Junction,CLJ,CLPHMJ1
66,Maze Hill,MZH,MAZEH
67,Dalston Junction,DLJ,DALS
68,Highbury & Islington,HHY,HIGHBYA
69,West Norwood,WNW,WNORWOD
70,Dalston Kingsland,DLK,DALSKLD
71,Canonbury,CNN,CNNB
72,Catford,CTF,CATFORD
73,Catford Bridge,CFB,CATFBDG
74,Imperial Wharf,IMW,CSEAH
75,London Paddington,PAD,PADTON
76,Hackney Central,HKC,HACKNYC
77,Camden Road,CMD,CMDNRD
78,Balham,BAL,BALHAM
79,Hackney Downs,HAC,HAKNYNM
80,Wandsworth Common,WSW,WANDCMN
81,Drayton Park,DYP,DRYP
82,Homerton,HMN,HOMRTON
83,Blackheath,BKH,BLKHTH
84,Gipsy Hill,GIP,GIPSYH
85,Sydenham,SYD,SYDENHM
86,Hither Green,HGR,HTHRGRN
87,Westcombe Park,WCB,WCOMBEP
88,Hackney Wick,HKW,HACKNYW
89,West Brompton,WBP,WBRMPTN
90,Kentish Town West,KTW,KNTSHTW
91,Wandsworth Town,WNT,WDWTOWN
92,Kentish Town,KTN,KNTSHTN
93,Streatham,STE,STRETHM
94,Rectory Road,REC,RCTRYRD
95,West Ham,WEH,WHAMHL
96,Bellingham,BGM,BELNGHM
97,Crystal Palace,CYP,CRYSTLP
98,Lower Sydenham,LSY,LSYDNHM
99,Penge East,PNE,PNGEE
100,Penge West,PNW,PENEW
101,Stratford International,SFA,STFODOM
102,Stratford,SRA,STFD
103,Charlton,CTN,CRLN
104,Clapton,CPT,CLAPTON
105,Lee,LEE,LEEE
106,Finsbury Park,FPK,FNPK
107,Stoke Newington,SKW,STKNWNG
108,Gospel Oak,GPO,GOSPLOK
109,Kensington Olympia,KPA,KENOLYM
110,South Hampstead,SOH,SHMPSTD
111,Streatham Common,SRC,STRHCOM
112,Kidbrooke,KDB,KIDBROK
113,Earlsfield,EAD,ERLFLD
114,Upper Holloway,UHL,UPRHLWY
115,Anerley,ANZ,ANERLEY
116,Beckenham Hill,BEC,BCKNHMH
117,New Beckenham,NBC,NBCKNHM
118,Kilburn High Road,KBN,KLBRNHR
119,Norbury,NRB,NORBURY
120,Maryland,MYL,MRYLAND
121,Hampstead Heath,HDH,HMPSTDH
122,Kent House,KTH,KENTHOS
123,Shepherds Bush,SPB,SHPDSB
124,Tooting,TOO,TOOTING
125,Crouch Hill,CRH,CROUCHH
126,Finchley Road & Frognal,FNY,FNCHLYR
127,Putney,PUT,PUTNEY
128,Queens Park (London),QPW,QPRK
129,Stamford Hill,SMH,STMFDHL
130,Clock House,CLK,CLOCKHS
131,West Hampstead,WHD,WHMDSTD
132,West Hampstead Thameslink,WHP,WHMPSTM
133,Beckenham Junction,BKJ,BCKNMJC
134,Harringay Green Lanes,HRY,HRGYGL
135,Birkbeck,BIK,BIRKBCK
136,Harringay,HGY,HRGY
137,Woolwich Dockyard,WWD,WOLWCDY
138,Haydons Road,HYR,HYDNSRD
139,Grove Park,GRP,GRVPK
140,Brondesbury,BSY,BRBY
141,Ravensbourne,RVB,RBRN
142,Thornton Heath,TTH,THTH
143,South Tottenham,STO,STOTNHM
144,Brondesbury Park,BSP,BRBYPK
145,Mitcham Eastfields,MTC,ESTFLDS
146,Forest Gate,FOG,FRSTGT
147,Norwood Junction,NWD,NORWDJ
148,Seven Sisters,SVS,SEVNSIS
149,Kensal Rise,KNR,KENR
150,Eltham,ELW,ELTHAM
151,Elmers End,ELE,ELMERSE
152,Leyton Midland Road,LEM,LEYTNMR
153,Wanstead Park,WNP,WNSTDPK
154,Kensal Green,KNL,KENSLG
155,Leytonstone High Road,LER,LYTNSHR
156,Selhurst,SRS,SELHRST
157,St James Street,SJS,STJMSST
158,Woolwich Arsenal,WWA,WOLWCHA
159,Hornsey,HRN,HRNSY
160,Barnes,BNS,BARNES
161,Mottingham,MTG,MOTNGHM
162,Walthamstow Queens Road,WMW,WLTHQRD
163,Tottenham Hale,TOM,TTNHMHL
164,Wimbledon,WIM,WDON
165,Shortlands,SRT,SHRTLND
166,Blackhorse Road,BHO,BLCHSRD
167,Woodgrange Park,WGR,WDGRNPK
168,Sundridge Park,SUP,SNDP
169,Walthamstow Central,WHC,WLTWCEN
170,Cricklewood,CRI,CRKLWD
171,Barnes Bridge,BNI,BNSBDGE
172,Bromley North,BMN,BROMLYN
173,Manor Park,MNP,MANRPK
174,Bruce Grove,BCV,BRUCGRV
175,Willesden Junction,WIJ,WLSDNJL
176,Mitcham Junction,MIJ,MITCHMJ
177,Eden Park,EDN,EDPK
178,Plumstead,PLU,PLMS
179,Falconwood,FCN,FALCNWD
180,Elmstead Woods,ESD,ELMW
181,Alexandra Palace,AAP,ALEXNDP
182,Acton Central,ACC,ACTNCTL
183,Wood Street,WST,WDST
184,Bromley South,BMS,BROMLYS
185,New Eltham,NEH,NWELTHM
